what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1353774180922
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1353774189830
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1353774192872
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1353774199346
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1353774199580
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1353774199970
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1353774200048
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1353774200859
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1353774200874
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1353774200952
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353774214275
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353774214509
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353774215788
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353774218487
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353774247560
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353774248950
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353774254047
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353774254520
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353774263319
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353774265891
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353774268250
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353774269601
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353774270866
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1353774408916
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1353774410740
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1353774410831
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1353774424243
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1353774424259
